state,year,ave_fledge_date,count
PA,2018,2018-06-03T00:00:00Z,1
PA,2018,2018-06-16T00:00:00Z,1
PA,2018,2018-06-22T00:00:00Z,1
PA,2018,2018-06-26T00:00:00Z,1
PA,2018,2018-06-28T00:00:00Z,1
PA,2018,2018-07-01T00:00:00Z,2
PA,2018,2018-07-03T00:00:00Z,2
PA,2018,2018-07-08T00:00:00Z,1
PA,2018,2018-08-04T00:00:00Z,1
NJ,2018,2018-06-16T00:00:00Z,1
NJ,2018,2018-06-22T00:00:00Z,1
NJ,2018,2018-06-24T00:00:00Z,1
NJ,2018,2018-06-28T00:00:00Z,1
NJ,2018,2018-07-01T00:00:00Z,2
NJ,2018,2018-07-03T00:00:00Z,1
NJ,2018,2018-07-04T00:00:00Z,1
NJ,2018,2018-07-05T00:00:00Z,3
NJ,2018,2018-07-06T00:00:00Z,1
NJ,2018,2018-07-07T00:00:00Z,1
NJ,2018,2018-07-09T00:00:00Z,1
NJ,2018,2018-07-10T00:00:00Z,1
NJ,2018,2018-07-13T00:00:00Z,1
NJ,2018,2018-07-16T00:00:00Z,1
NJ,2018,2018-07-17T00:00:00Z,1
NJ,2019,2019-06-16T00:00:00Z,2
NJ,2019,2019-06-17T00:00:00Z,3
NJ,2019,2019-06-18T00:00:00Z,1
NJ,2019,2019-06-21T00:00:00Z,1
NJ,2019,2019-06-22T00:00:00Z,2
NJ,2019,2019-06-23T00:00:00Z,1
NJ,2019,2019-06-27T00:00:00Z,1
NJ,2019,2019-06-28T00:00:00Z,1
NJ,2019,2019-06-29T00:00:00Z,1
NJ,2019,2019-07-01T00:00:00Z,1
NJ,2019,2019-07-02T00:00:00Z,1
NJ,2019,2019-07-04T00:00:00Z,1
NJ,2019,2019-07-05T00:00:00Z,1
NJ,2019,2021-07-07T00:00:00Z,1
PA,2019,2019-06-01T00:00:00Z,1
PA,2019,2019-06-03T00:00:00Z,1
PA,2019,2019-06-05T00:00:00Z,1
PA,2019,2019-06-10T00:00:00Z,2
PA,2019,2019-06-12T00:00:00Z,1
PA,2019,2019-06-13T00:00:00Z,1
PA,2019,2019-06-14T00:00:00Z,2
PA,2019,2019-06-17T00:00:00Z,1
PA,2019,2019-06-18T00:00:00Z,2
PA,2019,2019-06-19T00:00:00Z,1
PA,2019,2019-06-20T00:00:00Z,1
PA,2019,2019-06-24T00:00:00Z,2
PA,2019,2019-06-25T00:00:00Z,5
PA,2019,2019-06-26T00:00:00Z,2
PA,2019,2019-06-27T00:00:00Z,2
PA,2019,2019-07-08T00:00:00Z,2
PA,2019,2019-07-14T00:00:00Z,1
NJ,2020,2020-06-08T00:00:00Z,1
NJ,2020,2020-06-10T00:00:00Z,1
NJ,2020,2020-06-12T00:00:00Z,3
NJ,2020,2020-06-14T00:00:00Z,2
NJ,2020,2020-06-15T00:00:00Z,2
NJ,2020,2020-06-17T00:00:00Z,1
NJ,2020,2020-06-18T00:00:00Z,3
NJ,2020,2020-06-19T00:00:00Z,1
NJ,2020,2020-06-20T00:00:00Z,1
NJ,2020,2020-06-23T00:00:00Z,2
NJ,2020,2020-06-24T00:00:00Z,1
NJ,2020,2020-06-26T00:00:00Z,2
NJ,2020,2020-07-04T00:00:00Z,1
NJ,2020,2020-07-05T00:00:00Z,1
NJ,2020,2020-07-11T00:00:00Z,1
NJ,2020,2020-07-12T00:00:00Z,1
NJ,2020,2020-07-24T00:00:00Z,1
NJ,2020,2020-07-26T00:00:00Z,1
PA,2020,2021-05-21T00:00:00Z,2
PA,2020,2021-05-22T00:00:00Z,1
PA,2020,2021-05-25T00:00:00Z,2
PA,2020,2021-05-26T00:00:00Z,1
PA,2020,2021-05-27T00:00:00Z,3
PA,2020,2021-05-28T00:00:00Z,2
PA,2020,2021-05-29T00:00:00Z,1
PA,2020,2021-05-30T00:00:00Z,1
PA,2020,2021-05-31T00:00:00Z,1
PA,2020,2021-06-01T00:00:00Z,3
PA,2020,2021-06-04T00:00:00Z,3
PA,2020,2021-06-05T00:00:00Z,1
PA,2020,2021-06-09T00:00:00Z,2
PA,2020,2021-06-10T00:00:00Z,3
PA,2020,2021-06-11T00:00:00Z,1
PA,2020,2021-06-12T00:00:00Z,1
PA,2020,2021-06-13T00:00:00Z,3
PA,2020,2021-06-14T00:00:00Z,3
PA,2020,2021-06-16T00:00:00Z,2
PA,2020,2021-06-17T00:00:00Z,2
PA,2020,2021-06-18T00:00:00Z,3
PA,2020,2021-06-19T00:00:00Z,3
PA,2020,2021-06-20T00:00:00Z,1
PA,2020,2021-06-21T00:00:00Z,4
PA,2020,2021-06-22T00:00:00Z,1
PA,2020,2021-06-23T00:00:00Z,1
PA,2020,2021-06-24T00:00:00Z,1
PA,2020,2021-06-28T00:00:00Z,2
PA,2020,2021-06-30T00:00:00Z,1
PA,2020,2021-07-02T00:00:00Z,2
PA,2020,2021-07-03T00:00:00Z,1
PA,2020,2021-07-06T00:00:00Z,1
PA,2020,2021-07-08T00:00:00Z,2
PA,2020,2021-07-13T00:00:00Z,1
PA,2020,2021-07-14T00:00:00Z,1
PA,2020,2021-07-16T00:00:00Z,1
PA,2020,2021-07-21T00:00:00Z,1
PA,2020,2021-07-22T00:00:00Z,1
PA,2020,2021-07-24T00:00:00Z,1
PA,2020,2021-08-10T00:00:00Z,1
PA,2020,2021-08-11T00:00:00Z,1
PA,2020,2021-08-31T00:00:00Z,1
PA,2021,2021-05-18T00:00:00Z,1
PA,2021,2021-05-26T00:00:00Z,1
PA,2021,2021-05-29T00:00:00Z,1
PA,2021,2021-05-30T00:00:00Z,1
PA,2021,2021-05-31T00:00:00Z,2
PA,2021,2021-06-01T00:00:00Z,1
PA,2021,2021-06-02T00:00:00Z,1
PA,2021,2021-06-03T00:00:00Z,2
PA,2021,2021-06-04T00:00:00Z,1
PA,2021,2021-06-05T00:00:00Z,3
PA,2021,2021-06-06T00:00:00Z,5
PA,2021,2021-06-07T00:00:00Z,1
PA,2021,2021-06-08T00:00:00Z,3
PA,2021,2021-06-09T00:00:00Z,4
PA,2021,2021-06-10T00:00:00Z,4
PA,2021,2021-06-11T00:00:00Z,1
PA,2021,2021-06-12T00:00:00Z,6
PA,2021,2021-06-13T00:00:00Z,6
PA,2021,2021-06-14T00:00:00Z,2
PA,2021,2021-06-15T00:00:00Z,3
PA,2021,2021-06-16T00:00:00Z,5
PA,2021,2021-06-17T00:00:00Z,2
PA,2021,2021-06-18T00:00:00Z,1
PA,2021,2021-06-19T00:00:00Z,5
PA,2021,2021-06-20T00:00:00Z,2
PA,2021,2021-06-21T00:00:00Z,1
PA,2021,2021-06-22T00:00:00Z,6
PA,2021,2021-06-23T00:00:00Z,2
PA,2021,2021-06-24T00:00:00Z,2
PA,2021,2021-06-25T00:00:00Z,4
PA,2021,2021-06-26T00:00:00Z,4
PA,2021,2021-06-27T00:00:00Z,2
PA,2021,2021-06-28T00:00:00Z,2
PA,2021,2021-06-29T00:00:00Z,3
PA,2021,2021-06-30T00:00:00Z,1
PA,2021,2021-07-01T00:00:00Z,3
PA,2021,2021-07-02T00:00:00Z,1
PA,2021,2021-07-03T00:00:00Z,1
PA,2021,2021-07-05T00:00:00Z,2
PA,2021,2021-07-06T00:00:00Z,2
PA,2021,2021-07-08T00:00:00Z,2
PA,2021,2021-07-09T00:00:00Z,4
PA,2021,2021-07-11T00:00:00Z,2
PA,2021,2021-07-12T00:00:00Z,1
PA,2021,2021-07-13T00:00:00Z,1
PA,2021,2021-07-17T00:00:00Z,1
PA,2021,2021-07-18T00:00:00Z,1
PA,2021,2021-07-20T00:00:00Z,1
PA,2021,2021-07-21T00:00:00Z,1
PA,2021,2021-07-23T00:00:00Z,1
PA,2021,2021-07-24T00:00:00Z,2
PA,2021,2021-08-04T00:00:00Z,1
NJ,2021,2021-05-30T00:00:00Z,1
NJ,2021,2021-06-09T00:00:00Z,1
NJ,2021,2021-06-12T00:00:00Z,3
NJ,2021,2021-06-18T00:00:00Z,2
NJ,2021,2021-06-19T00:00:00Z,2
NJ,2021,2021-06-21T00:00:00Z,1
NJ,2021,2021-06-23T00:00:00Z,2
NJ,2021,2021-06-24T00:00:00Z,1
NJ,2021,2021-06-27T00:00:00Z,1
NJ,2021,2021-06-29T00:00:00Z,1
NJ,2021,2021-06-30T00:00:00Z,1
NJ,2021,2021-07-01T00:00:00Z,2
NJ,2021,2021-07-02T00:00:00Z,1
NJ,2021,2021-07-06T00:00:00Z,1
NJ,2021,2021-07-09T00:00:00Z,2
NJ,2021,2021-07-31T00:00:00Z,1
NJ,2021,2021-08-02T00:00:00Z,1
PA,2022,2022-05-21T00:00:00Z,2
PA,2022,2022-05-26T00:00:00Z,1
PA,2022,2022-05-27T00:00:00Z,2
PA,2022,2022-05-28T00:00:00Z,2
PA,2022,2022-05-29T00:00:00Z,4
PA,2022,2022-05-30T00:00:00Z,4
PA,2022,2022-05-31T00:00:00Z,2
PA,2022,2022-06-01T00:00:00Z,4
PA,2022,2022-06-02T00:00:00Z,2
PA,2022,2022-06-03T00:00:00Z,2
PA,2022,2022-06-04T00:00:00Z,2
PA,2022,2022-06-05T00:00:00Z,3
PA,2022,2022-06-06T00:00:00Z,1
PA,2022,2022-06-07T00:00:00Z,4
PA,2022,2022-06-08T00:00:00Z,4
PA,2022,2022-06-09T00:00:00Z,5
PA,2022,2022-06-10T00:00:00Z,5
PA,2022,2022-06-11T00:00:00Z,4
PA,2022,2022-06-12T00:00:00Z,4
PA,2022,2022-06-13T00:00:00Z,2
PA,2022,2022-06-15T00:00:00Z,2
PA,2022,2022-06-16T00:00:00Z,3
PA,2022,2022-06-17T00:00:00Z,2
PA,2022,2022-06-18T00:00:00Z,3
PA,2022,2022-06-19T00:00:00Z,7
PA,2022,2022-06-20T00:00:00Z,7
PA,2022,2022-06-21T00:00:00Z,5
PA,2022,2022-06-22T00:00:00Z,7
PA,2022,2022-06-23T00:00:00Z,3
PA,2022,2022-06-24T00:00:00Z,6
PA,2022,2022-06-25T00:00:00Z,3
PA,2022,2022-06-26T00:00:00Z,1
PA,2022,2022-06-27T00:00:00Z,2
PA,2022,2022-06-28T00:00:00Z,2
PA,2022,2022-06-29T00:00:00Z,3
PA,2022,2022-06-30T00:00:00Z,2
PA,2022,2022-07-01T00:00:00Z,3
PA,2022,2022-07-04T00:00:00Z,3
PA,2022,2022-07-05T00:00:00Z,3
PA,2022,2022-07-07T00:00:00Z,1
PA,2022,2022-07-08T00:00:00Z,1
PA,2022,2022-07-12T00:00:00Z,1
PA,2022,2022-07-17T00:00:00Z,1
PA,2022,2022-07-19T00:00:00Z,1
PA,2022,2022-07-26T00:00:00Z,1
PA,2022,2022-08-03T00:00:00Z,2
PA,2022,2022-08-06T00:00:00Z,2
PA,2022,2022-08-12T00:00:00Z,1
PA,2022,2022-08-13T00:00:00Z,1
PA,2022,2022-08-14T00:00:00Z,2
PA,2022,2022-08-15T00:00:00Z,1
PA,2022,2022-08-24T00:00:00Z,1
NJ,2022,2022-06-06T00:00:00Z,1
NJ,2022,2022-06-08T00:00:00Z,2
NJ,2022,2022-06-14T00:00:00Z,1
NJ,2022,2022-06-16T00:00:00Z,1
NJ,2022,2022-06-17T00:00:00Z,1
NJ,2022,2022-06-19T00:00:00Z,1
NJ,2022,2022-06-21T00:00:00Z,2
NJ,2022,2022-06-22T00:00:00Z,3
NJ,2022,2022-06-24T00:00:00Z,2
NJ,2022,2022-06-25T00:00:00Z,5
NJ,2022,2022-06-26T00:00:00Z,1
NJ,2022,2022-06-27T00:00:00Z,2
NJ,2022,2022-06-28T00:00:00Z,2
NJ,2022,2022-07-01T00:00:00Z,1
NJ,2022,2022-07-03T00:00:00Z,2
NJ,2022,2022-07-05T00:00:00Z,1
NJ,2022,2022-07-20T00:00:00Z,1
NJ,2022,2022-07-27T00:00:00Z,1
